Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-01, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-02, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-03, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-04, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-05, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-06, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-07, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-08, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-09, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-10, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-11, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-12, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-13, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-14, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-15, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-16, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-17, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-18, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-19, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-20, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-21, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-22, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-23, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-24, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-25, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-26, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-27, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-28, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-29, Error: 'date'
Folder: C:\Users\Shenghui\Documents\GitHub\MSc_CC_AirQuality\data\s3\date=2025-11-30, Error: 'date'
