sensor_id,sensor_type,location,lat,lon,altitude,date,PM10,PM2.5
2710,SDS011,20721,47.402,8.55,,2025-12-19,NA,NA
31531,SDS011,23787,52.18,5.288,,2025-12-19,NA,NA
51471,SDS011,37551,52.206,5.972,,2025-12-19,NA,NA
57249,SDS011,43102,52.014,-0.68,,2025-12-19,NA,NA
73625,SDS011,62168,59.8771079,17.6530469,,2025-12-19,NA,NA
79592,SDS011,81877,45.164,9.704,,2025-12-19,NA,NA
84965,SDS011,75274,48.352,15.736,,2025-12-19,NA,NA
90508,SDS011,82540,45.1597638,9.70382184,,2025-12-19,NA,NA
93445,SDS011,85876,48.7715621,11.5409132,,2025-12-19,NA,NA
70018,SPS30,57360,52.06513032,4.35386038,,2025-12-19,NA,NA
76716,SPS30,65647,49.7392726,13.389911,,2025-12-19,NA,NA
77580,SPS30,66723,41.468,13.56,,2025-12-19,NA,NA
89759,SPS30,81442,47.51725722,18.97185659,,2025-12-19,NA,NA
