sensor_id,sensor_type,location,lat,lon,altitude,date,PM10,PM2.5
26802,HPM,14378,51.796,5.808,,2025-12-19,1.0,1.0
40383,HPM,26097,42.366,23.818,,2025-12-19,1.0,1.0
45774,HPM,31483,52.67,13.266,,2025-12-19,1.0,2.0
55770,HPM,87651,-33.234,-60.334,,2025-12-19,1.0,1.0
63898,HPM,87652,-33.236,-60.328,,2025-12-19,1.0,1.0
26720,PMS1003,15950,51.112,6.966,,2025-12-19,1.0,1.0
27143,PMS1003,14672,50.25,8.312,,2025-12-19,2.0,2.0
69194,PMS1003,56310,51.30089115,17.05750675,,2025-12-19,3.0,2.0
74719,PMS1003,63236,55.10650842,38.73227835,,2025-12-19,1.0,1.0
82544,PMS1003,72208,44.33805573,23.82528484,,2025-12-19,10.0,10.0
83036,PMS1003,73029,43.592,1.458,,2025-12-19,2.0,2.0
95780,PMS1003,87960,45.576,5.304,,2025-12-19,1.0,1.0
44933,PMS3003,30667,43.614,1.442,,2025-12-19,1.0,2.0
50359,PMS3003,62159,54.95051866,73.17206502,,2025-12-19,1.0,1.0
65556,PMS3003,52200,53.49,14.376,,2025-12-19,2.0,1.0
76635,PMS3003,65531,54.9524555,73.38358005,,2025-12-19,2.0,2.0
10689,PMS5003,5394,27.222,78.01,,2025-12-19,10.0,10.0
20157,PMS5003,10239,56.82,24.416,,2025-12-19,1.0,1.0
24665,PMS5003,29726,53.532,-1.478,,2025-12-19,1.0,1.0
29602,PMS5003,16537,53.42311344,-1.52507991,,2025-12-19,1.0,1.0
30342,PMS5003,17145,49.902,8.68,,2025-12-19,2.0,2.0
30910,PMS5003,88519,51.5759921,4.3090478,,2025-12-19,1.0,1.0
31330,PMS5003,34067,39.548,-76.088,,2025-12-19,1.0,1.0
32503,PMS5003,18953,45.93,13.64,,2025-12-19,3.0,3.0
34846,PMS5003,74748,46.8,9.824,,2025-12-19,1.0,1.0
35160,PMS5003,21320,53.346138,-6.535901,,2025-12-19,1.0,1.0
36209,PMS5003,22244,54.97294984,-1.58977797,,2025-12-19,1.0,1.0
36513,PMS5003,74739,46.796,9.824,,2025-12-19,1.0,1.0
36523,PMS5003,74735,46.796,9.824,,2025-12-19,1.0,1.0
36525,PMS5003,74736,46.798,9.824,,2025-12-19,1.0,1.0
37709,PMS5003,60223,34.854,-92.408,,2025-12-19,1.0,1.0
39286,PMS5003,39406,-35.006,138.538,,2025-12-19,1.0,1.0
39720,PMS5003,29757,-33.84845858,151.21120155,,2025-12-19,1.0,1.0
39955,PMS5003,25631,51.516,-0.47,,2025-12-19,1.0,1.0
40517,PMS5003,26219,52.13577945,4.65768814,,2025-12-19,1.0,1.0
42410,PMS5003,28056,51.112,0.984,,2025-12-19,1.0,1.0
43280,PMS5003,80060,63.274,18.684,,2025-12-19,1.0,1.0
43479,PMS5003,29067,35.492,-97.52,,2025-12-19,1.0,1.0
43720,PMS5003,29320,-19.26119192,146.81744285,,2025-12-19,1.0,1.0
44342,PMS5003,30060,51.46439645,-0.25848929,,2025-12-19,1.0,1.0
44881,PMS5003,30612,38.304,23.786,,2025-12-19,1.0,1.0
45440,PMS5003,31189,38.79,-77.084,,2025-12-19,1.0,1.0
45556,PMS5003,31276,-33.9212615,151.15786046,,2025-12-19,1.0,1.0
45871,PMS5003,32333,55.844,-3.21,,2025-12-19,1.0,1.0
45990,PMS5003,31721,41.74,-88.0,,2025-12-19,1.0,1.0
46094,PMS5003,31832,50.746,-2.716,,2025-12-19,1.0,1.0
46381,PMS5003,66809,52.973161,-2.513711,,2025-12-19,1.0,1.0
46385,PMS5003,32089,49.94899007,22.02867955,,2025-12-19,1.0,2.0
46681,PMS5003,34101,53.43,-2.224,,2025-12-19,1.0,1.0
47079,PMS5003,33067,49.296,14.47,,2025-12-19,2.0,2.0
47081,PMS5003,33066,49.296,14.47,,2025-12-19,1.0,1.0
47217,PMS5003,47282,53.362,-2.222,,2025-12-19,1.0,2.0
47591,PMS5003,33317,33.356,-117.184,,2025-12-19,1.0,1.0
47808,PMS5003,85472,38.79,-77.084,,2025-12-19,1.0,1.0
47810,PMS5003,33575,52.6,7.318,,2025-12-19,1.0,1.0
47934,PMS5003,33704,43.592,-79.628,,2025-12-19,2.0,2.0
48155,PMS5003,35568,48.104,11.782,,2025-12-19,1.0,1.0
48249,PMS5003,47716,39.202,-77.198,,2025-12-19,1.0,1.0
48489,PMS5003,34291,55.996385,-4.89542,,2025-12-19,1.0,1.0
49064,PMS5003,34876,51.464,-0.15,,2025-12-19,1.0,1.0
49199,PMS5003,35036,51.61233389,-1.26900405,,2025-12-19,1.0,1.0
49343,PMS5003,35210,41.606,-87.602,,2025-12-19,1.0,1.0
49528,PMS5003,35423,37.32,-121.762,,2025-12-19,1.0,1.0
49644,PMS5003,36494,50.73,-1.932,,2025-12-19,1.0,2.0
50787,PMS5003,36756,50.846,20.632,,2025-12-19,9.0,10.0
50823,PMS5003,36799,50.910902,20.664102,,2025-12-19,5.0,7.0
51052,PMS5003,37093,37.716,-122.06,,2025-12-19,1.0,1.0
52290,PMS5003,39663,45.432,28.05,,2025-12-19,6.0,9.0
53634,PMS5003,39542,-34.932,138.594,,2025-12-19,1.0,1.0
53658,PMS5003,41524,35.624,139.698,,2025-12-19,2.0,2.0
54869,PMS5003,40756,-37.95,145.008,,2025-12-19,1.0,1.0
55043,PMS5003,54902,50.42,18.854,,2025-12-19,2.0,3.0
55518,PMS5003,41724,51.176,-0.708,,2025-12-19,1.0,1.0
55754,PMS5003,41674,52.29,-1.474,,2025-12-19,1.0,1.0
56069,PMS5003,41944,52.078,-0.058,,2025-12-19,1.0,1.0
56147,PMS5003,42032,52.30973151,16.42034143,,2025-12-19,3.0,4.0
56495,PMS5003,42804,55.762,38.084,,2025-12-19,2.0,2.0
56505,PMS5003,74831,52.07731028,-0.05850703,,2025-12-19,1.0,1.0
56688,PMS5003,42565,53.342,-1.534,,2025-12-19,1.0,1.0
